"ts","soc"
2024-02-20 02:25:00.000,37
2024-02-20 02:30:00.000,37
2024-02-20 02:35:00.000,36
2024-02-20 02:40:00.000,36
2024-02-20 02:45:00.000,35
2024-02-20 02:50:00.000,35
2024-02-20 02:55:00.000,35
2024-02-20 03:00:00.000,34
2024-02-20 03:05:00.000,34
2024-02-20 03:10:00.000,33
2024-02-20 03:15:00.000,33
2024-02-20 03:20:00.000,33
2024-02-20 03:25:00.000,32
2024-02-20 03:30:00.000,32
2024-02-20 03:33:00.000,32
2024-02-20 03:35:00.000,31
2024-02-20 03:40:00.000,31
2024-02-20 03:42:00.000,31
2024-02-20 03:45:00.000,30
2024-02-20 03:50:00.000,30
2024-02-20 03:55:00.000,29
2024-02-20 04:00:00.000,29
2024-02-20 04:05:00.000,28
2024-02-20 04:10:00.000,28
2024-02-20 04:15:00.000,27
2024-02-20 04:20:00.000,27
2024-02-20 04:23:00.000,27
2024-02-20 04:25:00.000,27
2024-02-20 04:30:00.000,26
2024-02-20 04:35:00.000,25
2024-02-20 04:36:00.000,25
2024-02-20 04:39:00.000,24
2024-02-20 04:40:00.000,24
2024-02-20 04:42:00.000,24
2024-02-20 04:44:00.000,24
2024-02-20 04:45:00.000,24
2024-02-20 04:50:00.000,23
2024-02-20 04:55:00.000,22
2024-02-20 05:00:00.000,22
2024-02-20 05:05:00.000,22
2024-02-20 05:10:00.000,21
2024-02-20 05:15:00.000,21
2024-02-20 05:20:00.000,21
2024-02-20 05:25:00.000,21
2024-02-20 05:30:00.000,21
2024-02-20 05:31:00.000,21
2024-02-20 05:35:00.000,21
2024-02-20 05:40:00.000,21
2024-02-20 05:45:00.000,22
2024-02-20 05:50:00.000,23
2024-02-20 05:55:00.000,24
2024-02-20 06:00:00.000,25
2024-02-20 06:05:00.000,26
2024-02-20 06:10:00.000,27
2024-02-20 06:15:00.000,28
2024-02-20 06:20:00.000,30
2024-02-20 06:25:00.000,31
2024-02-20 06:30:00.000,32
2024-02-20 06:35:00.000,34
2024-02-20 06:40:00.000,37
2024-02-20 06:45:00.000,40
2024-02-20 06:50:00.000,43
2024-02-20 06:55:00.000,46
2024-02-20 07:00:00.000,50
2024-02-20 07:05:00.000,53
2024-02-20 07:09:00.000,56
2024-02-20 07:10:00.000,57
2024-02-20 07:15:00.000,60
2024-02-20 07:20:00.000,64
2024-02-20 07:25:00.000,66
2024-02-20 07:30:00.000,69
2024-02-20 07:35:00.000,71
2024-02-20 07:40:00.000,74
2024-02-20 07:45:00.000,77
2024-02-20 07:50:00.000,81
2024-02-20 07:55:00.000,84
2024-02-20 08:00:00.000,89
2024-02-20 08:05:00.000,93
2024-02-20 08:09:00.000,93
2024-02-20 08:10:00.000,93
2024-02-20 08:15:00.000,93
2024-02-20 08:20:00.000,93
2024-02-20 08:25:00.000,94
2024-02-20 08:30:00.000,95
2024-02-20 08:35:00.000,97
2024-02-20 08:40:00.000,98
2024-02-20 08:42:00.000,99
2024-02-20 08:45:00.000,99
2024-02-20 08:50:00.000,99
2024-02-20 08:55:00.000,99
2024-02-20 09:00:00.000,99
2024-02-20 09:05:00.000,99
2024-02-20 09:10:00.000,99
2024-02-20 09:12:00.000,99
2024-02-20 09:15:00.000,99
2024-02-20 09:20:00.000,99
2024-02-20 09:25:00.000,99
2024-02-20 09:30:00.000,100
